Date,Open,High,Low,Close,Volume
2019-04-25,241.032629,241.327892,239.95,239.95,225
2019-04-26,239.9,241.9,239.9,241.9,547
2019-04-29,239.9,242.9,239.8,242.9,205
2019-04-30,242.8,245,241.9,245,494
2019-05-02,243.8,243.8,238.6,238.6,869
2019-05-03,238.8,242.1,238.4,241.2,841
2019-05-06,237.9,241,237.4,240.5,1687
2019-05-07,240.7,241.1,236.2,236.2,1156
2019-05-08,236.7,238.4,236.7,238.2,1134
2019-05-09,237.5,238.3,235.8,235.9,413
2019-05-10,236.9,236.9,235,235.2,503
2019-05-13,235.8,235.9,233.7,235.7,789
2019-05-14,236,237.1,235.5,236.7,482
2019-05-15,237.2,239.8,236,239.8,296
2019-05-16,240,244.5,239.2,244.5,683
2019-05-17,244.7,244.7,242.7,243.5,1108
2019-05-20,243.8,243.8,238.9,241.1,884
2019-05-21,240.7,242.5,240.7,241.3,536
2019-05-22,242.1,243.6,241.4,243,754
2019-05-23,242.5,242.7,241.3,242.2,265
2019-05-24,243.2,244,242.5,243.3,252
2019-05-27,245,245,243.2,244.1,235
2019-05-28,245.2,245.2,242.7,244.4,225
2019-05-29,241.2,241.2,239.3,240.3,356
2019-05-30,239.3,242.2,239.3,241.8,79
2019-05-31,240.4,240.5,238.6,240.5,462
2019-06-03,239.7,241.6,239.7,240.5,359
2019-06-04,240.4,242.5,238.3,239.8,753
2019-06-05,238.8,242.1,238.8,242.1,211
2019-06-06,244,244.5,241.9,242,488
2019-06-07,243.3,246,243.3,245.1,384
2019-06-11,245,246.4,244.8,245.6,1640
2019-06-12,246.7,247.8,246.7,247.1,203
2019-06-13,246.3,248.4,246.3,248.4,734
2019-06-14,245.5,248,245.5,248,99
2019-06-17,247.4,250.1,247.4,249.3,399
2019-06-18,254.2,255.3,252.9,253,346
2019-06-19,251.6,254.2,251.4,254.2,147
2019-06-20,256.5,256.5,254.8,255.7,130
2019-06-21,256,256.5,254,255.3,180
2019-06-24,255.1,255.8,254.9,255.4,742
2019-06-25,255.4,256,254.1,254.1,413
2019-06-26,253.5,253.6,249.9,249.9,371
2019-06-27,249.3,249.3,246.6,248,659
2019-06-28,248.2,250.5,247.7,250.5,169
2019-07-01,251.9,251.9,249.4,249.4,299
2019-07-02,250.5,254.1,250.5,254.1,508
2019-07-03,254.8,257.8,254.2,257,698
2019-07-04,256.4,256.4,252.5,252.5,613
2019-07-05,255.3,255.4,252.3,252.9,556
2019-07-08,253.3,254.6,252.8,254.6,729
2019-07-09,253.6,257,253.6,257,170
2019-07-10,252.2,254.7,250.7,253.7,905
2019-07-11,253.3,253.3,251,251.4,61
2019-07-12,250.9,252.4,250.8,252.4,579
2019-07-15,251.9,251.9,249.5,250.5,238
2019-07-16,250,252.6,249.7,251.3,561
2019-07-17,252.3,252.7,251.3,251.6,298
2019-07-18,250.6,252,249.3,250.6,219
2019-07-19,251.8,251.8,247.9,247.9,522
2019-07-22,248.9,250.6,248.2,250.3,888
2019-07-23,250.1,251.5,250.1,250.3,546
2019-07-24,249.9,250.2,247.2,247.2,164
2019-07-25,248.2,251,246.9,248.1,775
2019-07-26,248.2,250,248.2,249.1,1704
2019-07-29,248.8,252,248.8,251.1,515
2019-07-30,251.2,251.2,247.3,247.3,203
2019-07-31,240.5,242.1,235.6,242,1467
2019-08-01,240.4,245.2,240.4,245.2,7143
2019-08-02,242.1,242.5,237.5,237.6,1385
2019-08-05,235.6,235.6,230.3,230.3,2306
2019-08-06,229.4,231.5,228.6,231.2,2521
2019-08-07,229.7,235,229.7,233,655
2019-08-08,235,238,235,238,515
2019-08-09,238.2,238.8,232.6,232.6,1203
2019-08-12,235,235.2,232,234.6,2125
2019-08-13,234.3,234.3,229.9,233.8,622
2019-08-14,234.5,234.5,229.4,229.6,485
2019-08-15,230.5,230.5,226.7,230.4,949
2019-08-16,231.3,233.2,231,233.2,1821
2019-08-19,234.1,238.2,233.6,237.7,673
2019-08-20,237.8,238.9,235.8,236.4,1810
2019-08-21,237.6,241.3,237.6,241.2,887
2019-08-22,240.1,240.1,237.8,238.3,428
2019-08-23,238.3,240,236.1,236.1,223
2019-08-26,235.4,238.7,235,238.7,1329
2019-08-27,237,244.9,236.5,244.9,267
2019-08-28,247,247.1,245.8,246.4,450
2019-08-29,247.4,250.4,247.4,249.3,1379
2019-08-30,247.3,249.5,247.2,248.6,776
2019-09-02,249.3,252.3,249.3,251.2,527
2019-09-03,250.6,253.1,250.6,253.1,328
2019-09-04,254.2,255,253.5,254.8,189
2019-09-05,255.4,255.4,250.7,250.7,711
2019-09-06,251.2,260,250.8,260,370
2019-09-09,251.5,251.6,248.7,249.3,254
2019-09-10,248,248.9,247.1,248.1,430
2019-09-11,248.5,249.2,246.4,248,316
2019-09-12,248.7,250.8,247.2,249.8,401
2019-09-13,248.6,248.6,244,244.4,228
2019-09-16,243.6,246,242.2,242.2,538
2019-09-17,241.9,246.3,241.9,246.3,270
2019-09-18,246.4,247.8,245.5,247,1180
2019-09-19,247.2,249.1,247.2,247.4,243
2019-09-20,246.9,248.9,245,248.9,1400
2019-09-23,247.8,248,246.3,246.3,463
2019-09-24,248.6,249.2,248.6,248.8,402
2019-09-25,248.4,248.7,246.3,246.3,510
2019-09-26,245.4,251.8,245.4,251.4,622
2019-09-27,253.2,253.3,251.5,253.3,413
2019-09-30,252.8,257.3,252.6,257,276
2019-10-01,258.3,258.3,249.9,250,441
2019-10-02,250.2,250.2,240,240.6,1389
2019-10-04,244.1,246.4,243,244.6,669
2019-10-07,246,248.1,246,248.1,237
2019-10-08,246.7,246.7,244.7,245.3,261
2019-10-09,245.7,249.9,245.7,247.7,770
2019-10-10,246,246,242.7,245.3,412
2019-10-11,243,244,242.3,243.3,596
2019-10-14,243,243.9,242.5,243.9,418
2019-10-15,245,245,242.6,244,1114
2019-10-16,247.3,247.6,245.4,245.4,466
2019-10-17,244.3,246.1,244.2,244.2,335
2019-10-18,243.9,243.9,240,240.5,782
2019-10-21,240.4,240.4,237.7,237.7,611
